trump,喜欢蹲厕所的注意了，一兄弟如厕长时间玩手机，导致脱肛16cm,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775697,10238,26
争取今年惯例,关于能力提升相关,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775917,7494,2
jiukong,预备队训战目睹一线之怪现象,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776389,1064,8
毛爷爷说我棒,年后要不要买房，老司机给点建议,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3773687,19559,159
肖申克的救赎二号,关于请假的咨询,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776381,767,6
张金锋,【人找车】2月15日松山湖到广州南，赶8点40的高铁，求带！或者组团拼车，希望5~6点出发，谢谢~,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776423,101,1
chenvivi,忍不住想吐槽一下华为手机云服务,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775933,586,10
pythonic,16应届进来，已提惯例电子流,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3759597,4194,27
终情局,大幅迈进！华为Brand Finance全球品牌价值百强提升至25名,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774767,7609,22
烦恼的我,我应该接受离婚吗？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3621523,53491,370
G1一年级,1704来公司，1709转正，NZJ有多少？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774613,2825,18
祈同伟,体检发现尿酸高，兄弟们有什么医院推荐？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3721711,13546,113
你猜我猜不猜呢,深圳求短租房，3月1日开始，1-2个月,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3764681,469,5
嘿妞妞,年夜饭：今年年三十的年夜饭就在J4中餐吃了，订了1288的套餐竟然还送1288的福包，感觉挺划算,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774899,10708,58
星繁逐追,上研优芙德一餐,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775881,1648,10
xasteven,P9 Plus 海外版本 国内初始化不能登录 @花粉助手,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775823,119,6
咨询1111,麻烦问下，主管给我打的绩效跟我实际输出不符合，哪里可以投诉？谢谢,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774029,3944,39
质量与流程管理部,杜工，过分了啊！,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775493,19061,57
华为家事,从泥坑中爬起来的是圣人,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3759635,10841,132
C涛声依旧,今年为什么没有“华为时代”了？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3329923,7741,32
三叔啊啊啊,园区里人脸识别系统识别出来的人不是我，是不是要更新个员工发型数据库？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774941,1268,12
维生素C泡腾片,现在如何看是否会加工资？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776357,1081,0
快乐工作365,14好久没加工资了，眼看年终奖少的可怜，心情很低落,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3773487,13904,63
哈拉斯卡,【成都】求推荐装修师傅,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776347,74,0
白爷,和老婆谈话说不到一处怎么办？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774329,8644,73
我爱皇家马德里,如何挽留一个可能要离职的新员工？在线等，先谢谢大家,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3773713,19818,129
千年茶壶,【国际惯例】网络11.5年研发!级今天跑路咯,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775865,4492,26
蚂蚁牙黑666,干了半年，过年回家没攒几个钱，心里有点失落。。。,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776321,842,1
有什么好名字,在我司老员工压榨新员工是不是惯例？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776301,1438,14
开心搞笑了谁,吃海底捞火锅，狠拉肚子，有相同遭遇的吗？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776307,445,1
笑不起来,上研食堂餐具太脏了,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775445,664,10
夜宵不足,深圳12万申报切换过纳税地是不是不用申报了,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775543,609,3
汉东书记沙瑞金,2025年禁止燃油车，奔驰领先奥迪，宝马，造出靠水就能跑的车！,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774593,1963,11
文明之光,来预测2018第2期深圳车牌竞价,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776249,456,1
W卡布奇诺W,上研行政真贴心,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776149,919,6
心声社区VS微博,甲状腺癌哪个医院治好一点？能治好不？会不会有生命危险？会不会遗传下一代？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3680897,4636,34
林文,高铁票转让,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775937,2579,8
康宁医院院长,江苏银行，现在贷款现在什么利率？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3733293,1942,11
flysong,2月14日下班后从西安开车回信阳，车上还有3个座位，有需要同行的没？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3767221,1016,14
95后大叔,为什么华为女生都穿得那么老土？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3551507,37055,205
军统六哥在此,听说现在去预备队不给升级了？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775775,2703,7
娇弱平胸一米八,深圳园区穿梭车为什么都是横冲直撞？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3761119,1263,21
64,如果马斯克在华为，第一年就会被打D。贾跃亭会被火箭提拔成为火车头大领导。,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3771439,18208,99
梦想的庄园,18年上半年转部门，几月之前完成切换考评才会在新的部门？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775941,651,5
晓袋子,谁家宝宝喝羊奶粉可瑞康2段能否借用几勺试一下,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775715,637,5
家在远方,金荣达食堂都放假了,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776257,281,1
Q4A,向财务同事咨询代发薪银行的事情,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776181,586,9
青蛙青蛙小青蛙,明日之星居然被你们搞成这个样子！,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3767361,31632,104
泥娃,深圳龙岗大运刚上车，请大神指导,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3672925,3171,39
我知道我会火,心声，你的banner挂了，荣誉殿堂的图不见了,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776199,716,3
才华有限青年,丘处机们的武功怎么死活练不上去？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3772109,8861,51
新闻头条,计划在二线热点城市投资购房（三亚，大理，成都、武汉，西安，厦门，兰州等），找几个志同道合的人同行,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3640311,7955,62
我待不下去了l,绩效申诉有用么？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774151,2669,19
惆怅啊,17届校招不是offer上写了年终奖了嘛 按照offer发吧,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776241,1214,1
久不见,工作效率太低了,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776167,1185,4
洪吉童,给大家拜个早年！家庭和睦！身体健康！,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776239,197,0
专职莲藕钻孔,怎么删除华为手机自带的垃圾软件,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776037,753,15
我的新昵称呢,阿里offer求教,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3773121,6692,34
旅行青蛙,你家的蛙没回来吧？TA可能去了华为……,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3756987,19205,68
六六走吃东西去,求助近期有没有从印度回来的同事帮忙带一盒泰瑞莎奥西替尼,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774397,140,3
小MM,动动手，新年礼品等你拿~,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774861,1219,11
我是谁我要干啥,公司的笔记本好看又好用，几年可以转给个人？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774371,2021,8
还拿杯水,"17年1月14升15,17年NZJ怎么算啊",http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774905,2467,10
我在华为吃着炸鸡,公司是不是有不能调去老家所在省份，毕业学校所在省份的规定？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774363,1391,10
哦也哦也哦也,请教：更换手机有没有简单快捷的办法将旧手机里面的数据导入到新手机里面？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776171,210,10
有一些道理,Y=45-（X-8）/3,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3772879,18600,66
好烦Z,最近压力比较大，有什么好的减压方法吗？ GG们,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774305,1766,14
其实我也很为难,年终奖的考勤系数,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3476531,16387,33
bugatti,绩效公示后提离职，NZJ还会发不？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775663,2637,7
慌忙闭上眼,（转）这个山东农民年入4.8亿，把菜卖到了迪拜，被马云邀请进湖畔大学,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774751,2585,10
换个低调的小马甲,做什么兼职好,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775651,1746,21
Skylee,老挝代表处年度大片《One Day》,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776155,544,0
不能待太久,离职为何如此困难，如何好聚好散？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3759975,4468,37
我是村支书,求教,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776141,32,0
错错对对不必理它,吐槽一下,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776125,487,1
cat2016,阿里来的P8要回阿里去了,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3675151,52829,268
华为人,一个华为老兵的16年,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3765363,24508,47
冰糖可乐,回沈阳有途径吗,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776033,358,8
人荐人爱,还记得过年前的这个习俗吗？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776089,377,0
罗伊人,如何劝退一个刚入职的小鲜肉？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775813,4090,14
看不见的算法,西安买房-有打算买绿地新里城的房子吗,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3723667,6295,88
精神不在公司,年前搞了几个通宵领和周日加班导说可以转调休,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3776029,893,3
默已成哀,2018年房价还会飙车吗,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774223,9845,58
华为人,20年征战，华为无线历史性进入莫斯科大环,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3768629,24251,98
老大哥,mate10 pro打印问题,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3760047,884,11
手机观察员,Mate 8问题：天气预报无法定位和刷新,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3772889,177,7
左手拉宝宝,哪里可以下载welink,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775871,299,6
这不扯呢吗,麻烦好好统计下我的获奖次数,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775661,2800,12
光电猫,春节放假14号拼车回吉安找乘客,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775973,150,1
HRSSC在线,重要知会~2月工资会提前发咯！,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3772635,67204,228
JEFF,有从南研所回深圳办公室的同事吗？帮忙带个mini pad，邮寄担心来不及了，谢谢！,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775993,134,0
爱我儿子,求助：有了解清澜山学校的吗？多谢,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3772241,788,8
生活F啊bJbL,急聘【北京、廊坊】【15~17】【服务解决方案销售】美女多,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775559,803,3
小小小小小小,公司发的邮票没收到找谁?,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775887,320,3
sasd,大家开车都怎么付费加油，有什么好的省钱方法嘛？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3756735,7667,70
生活开心点,惯例，无干活，留个记录,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775835,1365,7
第六个马甲,年前外面公司都不咋招人么？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775359,2107,15
学无止境2017,[保险咨询]最近想给自己和家人买寿险‘唐僧宝’以及国华人寿终身重疾险，有没有了解的朋友，一起讨论下,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774091,338,4
不一样的华为人,2018年2月份的工资年前发还是年后发？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3744203,10338,17
叶落x繁华间,小偷竟如此猖狂！！,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774811,4852,25
Erindefe,（帮同事发贴）有在福田某医院做过痔疮手术的朋友吗？术后是否有旧病重患？多谢,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3736351,515,4
喝一杯,潜艇 “兵王”父子深海亮剑,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775469,823,10
天天想走,14级什么时候惯例不影响拿年终奖,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3772611,2641,16
蹲坑大王,网上都是骗人的,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775845,2374,5
林拜,13级什么时候惯例不影响拿年终奖,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775343,1446,9
Jayz,【国际惯例】纪念我的七年华为时光,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3769127,3559,14
想赚钱的小奋斗,求助：关于香港保险和大陆保险,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774213,1546,20
钱包宝宝,手机秒变公交卡，珠海公交车开始支持Huawei Pay啦！,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3760205,2709,15
自由歌者,轮岗的意义是啥,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775599,1315,6
我呆不了一个月哦,关于工作文化，工作纪律及KPI,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775791,841,2
dafsdg,从杨美地铁站坐地铁到机场大概要多久呢？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774741,620,8
再等等再看看,圈子扩容，请加入！,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3743397,1544,2
小马龙霸气,新员工有年假吗？怎么用啊？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774387,675,3
街道口职业技术学,没有买到回家得票，有没有深圳回武汉的车捎带一程，不胜感激！,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774301,509,3
2015奋斗,海外常驻回国 下一步咋走比较好,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3770599,2073,6
终情局,华为OPEN DAY中东站——迪拜,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3643511,514,1
石榴籽,住房公积金如何取,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774357,1129,6
iSay,调查：你觉得这次考评结果公平客观吗？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775419,1565,7
失落的小鸟,深业东岭这个盘怎么样？求助大神说道说道，都有哪些优缺点，谢谢！,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3451521,857,2
残荷夜雨,论一线城市两次暴涨机会（N）,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3617893,63226,467
落寞眼光背后,求帮忙带几天狗狗,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3770677,2965,41
心声视频,心声首发：《华为时代13-逐梦未来》,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3772993,10236,118
一口气上五楼,房事被套路,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3597997,10058,27
现在忙,月末周六调休影响考勤系数吗？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775237,1411,4
QAZ000,沟了吗？据说年前沟？,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774221,18301,44
啦啦啦啦啦来了,发个帖，纪念一下我的B,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3773689,13250,59
萧大哥,跟LM提了离职，想3月底之前走，LM硬要拖到4月份,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3774635,2782,13
西藏的拉萨,华为V8 手机  插入耳机之后再也开不了机了,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775669,157,3
相濡与沫,又是上研晴美，早上吃小笼包，不知道什么毛发，恶心……,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775353,1284,17
天纵晕,@花粉助手 感觉在京东买了台二手手机，请花粉帮鉴定,http://xinsheng.huawei.com/cn/index.php?app=forum&mod=Detail&act=index&id=3775435,689,14
